[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_terraceplaza_31/base2/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_courtyardofficetower_10/floor5/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hardwarestorecedamaged/ground/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialf_1/floor1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policeapartment_0/ground/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_convenientstore_3/ground/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_5/floor11/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_flatapartment_0/floor2/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_casino_7/base7/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentiald/floor1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialf_1/ground/stripped_dark_oak_desk_cabinet
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hotelb/floor3/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:entity/t4_ammunitions
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_gallery_9/base2/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/base2/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_farmhouse1_4/floor2/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/floor2/oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialsurvivor_1/ground/stripped_dark_oak_desk_cabinet
